,Gene ID,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj,proportion,mean
0,PDE1A,linear down quadratic up,0.019871188813376933,linear_quadratic,2.4938854084915225,-0.5162314142081487,0.029783477945640312,0.0,0.25444484585579175,0.645962892139125,0.3642880068471167,1.0754503227270782
1,SEMA5A,linear down quadratic up,-0.026008390662260572,linear_quadratic,2.2949863197856146,-0.2257126140420776,0.011094679076656502,0.0,0.2650164154433501,0.6357781724225213,0.07398095645661709,1.4928234261137263
2,RRAD,linear up quadratic down,-0.03475748143746452,linear_quadratic,-0.17327909212425646,0.35561192180220913,-0.02168718906887076,0.0,0.24520044716132883,0.6322432878619226,0.34412110837701937,0.8268526743570129
3,PRKG1,linear down quadratic down,-0.06239210153695118,linear_quadratic,3.171425183334138,-0.015931378963074044,-0.0025811512541042843,0.0,0.21150963875329443,0.6193873368678405,0.0035840376591419706,2.90780073073981
4,CHRM2,linear down quadratic up,-0.025839461252260637,linear_quadratic,2.8405136765192274,-0.20698437749902107,0.010063606458153357,0.0,0.21257874560439194,0.6184848694134233,0.030758532149352733,2.0853150486161334
5,PLEKHA5,linear down quadratic up,-0.0014173147149842136,linear_quadratic,3.107461217379354,-0.15721517575923444,0.008655436724680568,0.0,0.18151416858484637,0.6110901075076863,0.005937734032309832,2.591104459474698
6,FKBP5,linear down quadratic up,0.013422204310680308,linear_quadratic,2.7982832265673925,-0.4689482008117995,0.026798355840137768,1.3565900413309937e-276,0.17258417558339578,0.6102162708863739,0.20268535358938697,1.3849916221600513
7,AC011287.1,linear down quadratic up,-0.04965941256584319,linear_quadratic,2.965231628329139,-0.13197970896920636,0.004573349800186842,0.0,0.16559259365121215,0.6059487143776852,0.034075104311543813,2.335896379308869
8,SYNPO2,linear down quadratic up,-0.01953126306878955,linear_quadratic,2.886852672712156,-0.1456757205657043,0.007008025416495265,0.0,0.17147006914919904,0.6034448998349593,0.012998823151813416,2.3429316358928003
9,CLEC2D,linear down quadratic up,0.00018412225715851854,linear_quadratic,0.93902165813018,-0.19320628006982254,0.010743911240387836,0.0,0.20377696494992048,0.602777765092781,0.5467529688670162,0.41199236645126774
10,MYH6,linear down quadratic up,0.026309056082188725,linear_quadratic,2.992439738398791,-0.4565639838716922,0.02682627999743783,3.1310504677961655e-191,0.11794718789369696,0.5975860336108831,0.16556114261260296,1.7638444645800795
11,LINC01428,linear down quadratic up,-0.033837219899863456,linear_quadratic,1.430046218239222,-0.20828784550457302,0.009691701422483864,0.0,0.1910479203314741,0.5968017473247413,0.33936022253129344,0.7337779515550444
12,AC022034.3,linear down quadratic up,-0.03903409373186904,linear_quadratic,2.658806206678517,-0.22950701888357491,0.010581829175094771,0.0,0.17560539091152205,0.5957855478751186,0.11270996041510645,1.810264811973895
13,AUTS2,linear down quadratic up,0.025809253176173802,linear_quadratic,2.352111897462121,-0.25074302883057553,0.015364015667041628,0.0,0.17593897404849346,0.5948659266128098,0.06515459505723761,1.6151374290884775
14,MLIP,linear down,-0.03979309256017832,linear,3.5817273252120922,-0.03979309256017831,nan,0.0,0.16660870587740773,0.5947653595728499,0.0011768481865839307,3.3196006632234942
15,NLGN1,linear down,-0.061297527957937664,linear,2.4618571136309226,-0.06129752795793766,nan,0.0,0.1643853274009951,0.5918324748902009,0.03081202524874291,2.0537480709971114
16,MBNL1,linear down quadratic up,-0.027676391915232607,linear_quadratic,2.611717552060666,-0.09870436323961121,0.003945998406909922,0.0,0.15864821292308862,0.5912827030738479,0.01080560607681609,2.195590762566599
17,FHOD3,linear down quadratic up,0.004712536021318381,linear_quadratic,3.3894742376793547,-0.1500080664913017,0.008595589028478894,0.0,0.14668466789885126,0.5886963592067653,0.0026746549695089335,2.9191195964309404
18,CTNNA3,linear up quadratic down,-0.04596622212341561,linear_quadratic,3.6970453968691754,0.03351648725608497,-0.004415706076638922,0.0,0.1393901304221471,0.588159138274922,0.0010698619878035734,3.631626842109768
19,SGCD,linear up quadratic down,-0.06151085027637809,linear_quadratic,3.016775315358618,0.07861007732269021,-0.007784495977726016,0.0,0.11621274959926808,0.5880599727196252,0.0074355408152348345,3.0166713820493207
